| ID   | Mean (Gold) | Mean (C) | Mean Err% | Var (Gold) | Var (C)  | Var Err% | Y MAE (%) |
| 151  |     -0.0195 |  -0.0192 |     1.24% |     1.2151 |   1.2216 |    0.53% |     4.41% |
| 152  |     -0.0304 |  -0.0312 |     2.70% |     0.9873 |   1.0138 |    2.69% |     2.56% |
| 153  |     -0.0174 |  -0.0173 |     0.40% |     1.0269 |   1.0554 |    2.78% |     3.28% |
| 154  |     -0.0095 |  -0.0092 |     2.31% |     0.8585 |   0.8817 |    2.70% |     1.90% |
| 155  |      0.0104 |   0.0108 |     4.17% |     0.8409 |   0.8629 |    2.61% |     2.87% |
| 156  |      0.0106 |   0.0108 |     1.58% |     0.8534 |   0.8620 |    1.00% |     2.98% |
| 157  |      0.0112 |   0.0115 |     3.23% |     0.8574 |   0.8796 |    2.59% |     2.28% |
| 158  |      0.0154 |   0.0151 |     1.95% |     0.8993 |   0.9165 |    1.91% |     2.65% |
| 159  |      0.0065 |   0.0062 |     4.59% |     0.9031 |   0.9008 |    0.26% |     2.76% |
| 160  |      0.0020 |   0.0020 |     3.76% |     0.9107 |   0.9300 |    2.12% |     2.75% |
| 161  |     -0.0159 |  -0.0160 |     0.70% |     0.8537 |   0.8785 |    2.90% |     2.07% |
| 162  |     -0.0033 |  -0.0032 |     4.35% |     0.8357 |   0.8528 |    2.05% |     2.73% |
| 163  |      0.0225 |   0.0228 |     1.61% |     0.9155 |   0.9144 |    0.12% |     3.31% |
| 164  |      0.0019 |   0.0019 |     1.76% |     0.8417 |   0.8448 |    0.37% |     2.98% |
| 165  |     -0.0097 |  -0.0095 |     2.19% |     1.3538 |   1.3676 |    1.02% |     4.17% |
| 166  |     -0.0126 |  -0.0129 |     2.39% |     0.8574 |   0.8644 |    0.82% |     3.16% |
| 167  |     -0.0152 |  -0.0154 |     0.74% |     0.9331 |   0.9465 |    1.44% |     3.51% |
| 168  |     -0.0082 |  -0.0085 |     3.68% |     0.9182 |   0.9284 |    1.11% |     2.64% |
| 169  |     -0.0041 |  -0.0038 |     7.79% |     0.8433 |   0.8633 |    2.36% |     2.81% |
| 170  |     -0.0074 |  -0.0075 |     2.01% |     0.8226 |   0.8447 |    2.69% |     2.47% |
| 171  |      0.0084 |   0.0086 |     2.01% |     0.8227 |   0.8407 |    2.19% |     2.83% |
| 172  |     -0.0023 |  -0.0018 |    20.40% |     0.8456 |   0.8610 |    1.82% |     3.11% |
| 173  |     -0.0008 |  -0.0011 |    37.33% |     0.8463 |   0.8730 |    3.16% |     3.00% |
| 174  |     -0.0089 |  -0.0086 |     3.39% |     0.8234 |   0.8246 |    0.14% |     2.57% |
| 175  |     -0.0128 |  -0.0135 |     5.64% |     0.8121 |   0.8152 |    0.38% |     2.41% |
| 176  |     -0.0236 |  -0.0245 |     3.81% |     0.8167 |   0.8128 |    0.47% |     2.58% |
| 177  |     -0.0014 |  -0.0024 |    69.05% |     0.8818 |   0.8864 |    0.52% |     2.71% |
| 178  |     -0.0096 |  -0.0095 |     0.20% |     0.7906 |   0.8071 |    2.09% |     2.27% |
| 179  |     -0.0120 |  -0.0123 |     2.56% |     0.8147 |   0.8283 |    1.67% |     2.50% |
| 180  |     -0.0201 |  -0.0204 |     1.25% |     0.8031 |   0.8016 |    0.18% |     2.41% |
| 181  |     -0.0161 |  -0.0164 |     1.83% |     0.8213 |   0.8384 |    2.09% |     2.48% |
| 182  |     -0.0247 |  -0.0248 |     0.17% |     0.8846 |   0.9040 |    2.20% |     2.27% |
| 183  |     -0.0122 |  -0.0125 |     2.37% |     0.8648 |   0.8812 |    1.89% |     1.93% |
| 184  |     -0.0084 |  -0.0081 |     3.74% |     0.8219 |   0.8318 |    1.20% |     2.48% |
| 185  |     -0.0102 |  -0.0105 |     3.54% |     0.8145 |   0.8330 |    2.27% |     2.26% |
| 186  |     -0.0067 |  -0.0065 |     2.30% |     0.8393 |   0.8536 |    1.70% |     2.76% |
| 187  |     -0.0091 |  -0.0091 |     0.04% |     0.8323 |   0.8415 |    1.11% |     2.62% |
| 188  |     -0.0172 |  -0.0167 |     2.84% |     0.8461 |   0.8582 |    1.43% |     2.78% |
| 189  |     -0.0266 |  -0.0272 |     2.35% |     0.8497 |   0.8600 |    1.21% |     2.92% |
| 190  |     -0.0185 |  -0.0182 |     1.32% |     0.8414 |   0.8551 |    1.63% |     2.73% |
| 191  |     -0.0190 |  -0.0181 |     4.52% |     0.8563 |   0.8756 |    2.25% |     1.87% |
| 192  |     -0.0159 |  -0.0157 |     1.34% |     0.8142 |   0.8229 |    1.06% |     2.14% |
| 193  |     -0.0197 |  -0.0201 |     2.16% |     0.8332 |   0.8488 |    1.87% |     2.37% |
| 194  |     -0.0295 |  -0.0289 |     2.10% |     0.8146 |   0.8214 |    0.84% |     2.18% |
| 195  |     -0.0288 |  -0.0285 |     1.22% |     0.8316 |   0.8502 |    2.25% |     2.51% |
| 196  |     -0.0240 |  -0.0243 |     1.32% |     0.8799 |   0.8859 |    0.69% |     1.97% |

==================================================
        FINAL PERFORMANCE SUMMARY (SOLE)
==================================================
Total Vectors Processed     : 197
Avg. Statistics Error (Mean): 5.65%
Avg. Statistics Error (Var) : 1.74%
--------------------------------------------------
OVERALL ALGORITHM PRECISION (MAE): 3.1822%
==================================================
